Amount of Chemo (Q),Consecutive Chemo Days,Cycle Length Days,Glial Cells (Healthy),Glioma Cells (Cancerous),Neuron Cells (N),Chemo in Body (Q)
918.75,8,49,0.996554453364751,1.90470503917236e-09,0.956965528345763,3123.61470802791
937.5,8,50,0.996991144644272,4.3957303787134e-09,0.958490571969577,1.03642577061821
333.333333333333,9,20,0.996625876414689,5.64680667813124e-09,0.969280730771904,197.484869782499
350,9,21,0.996588959491314,5.23958928857244e-09,0.96900851154158,377.672120959495
366.666666666667,9,22,0.996573462184238,5.00964239215834e-09,0.968753637094899,481.795464887538
383.333333333333,9,23,0.996581277202092,5.0848713356698e-09,0.96853328144654,413.108355454967
400,9,24,0.996601293098946,4.73900432460718e-09,0.968321730942235,235.580383276632
416.666666666667,9,25,0.996688230739392,5.76277550510045e-09,0.968301280586057,89.908750032132
433.333333333333,9,26,0.996684273910066,5.69332975304976e-09,0.968146126907701,1537.15261849794
450,9,27,0.996551346761756,4.05901909423196e-09,0.96738719913025,881.76625296207
466.666666666667,9,28,0.996654671560661,4.99523650216912e-09,0.967500845373564,122.440151261693
483.333333333333,9,29,0.996676000073587,4.90166658360226e-09,0.96735559873645,1833.05731538557
500,9,30,0.996583832383335,3.97884878386983e-09,0.966809465033529,291.581750525952
516.666666666667,9,31,0.996755905689392,5.54144238754766e-09,0.967054841100884,1437.97443636637
533.333333333333,9,32,0.996587182049056,3.93902199205498e-09,0.966121706222934,310.58890289302
550,9,33,0.996758591609311,5.18008743695391e-09,0.96629503173119,1747.50243104284
566.666666666667,9,34,0.996621853017823,3.84673824377132e-09,0.965402504892356,148.79059422757
583.333333333333,9,35,0.996633178766419,4.01488216674592e-09,0.964880392702834,2525.11523547656
600,9,36,0.996746488025969,4.66813927174688e-09,0.964854951959803,31.6068559615074
616.666666666667,9,37,0.996537340682758,3.07616677718491e-09,0.963725540282006,437.616370907961
633.333333333333,9,38,0.996792555271234,5.19406543584813e-09,0.964151105450803,2216.63151369342
650,9,39,0.99672489041442,4.03378950490195e-09,0.963357987729922,34.2117562023958
666.666666666667,9,40,0.996522660109083,2.64155533995413e-09,0.962206575814603,389.283250251415
683.333333333333,9,41,0.996709093340787,3.99180506830076e-09,0.96233571613027,2729.29523015505
700,9,42,0.996834239233263,5.00467897212724e-09,0.962350642584729,10.7765848985351
716.666666666667,9,43,0.996646122163961,3.24950195990022e-09,0.961289526011013,97.1818934595604
733.333333333333,9,44,0.996497148701419,2.33511536504768e-09,0.960150816268657,900.322812216761
750,9,45,0.996862581364429,4.70688397150351e-09,0.96116441879025,2372.51836409156
766.666666666667,9,46,0.996837143009102,4.3677766753861e-09,0.960570211419427,8.05081391237137
783.333333333333,9,47,0.996643526932537,2.79072026789397e-09,0.95943486403889,61.404978734746
800,9,48,0.996482636137672,2.07198812990237e-09,0.958405231381037,461.95544983196
816.666666666667,9,49,0.996617553542277,2.63381839400344e-09,0.958319420121357,3532.46831769762
833.333333333333,9,50,0.996988438214731,5.26473508060874e-09,0.959472329774063,1.17828314695928
300,10,20,0.996638339895749,6.94146287045488e-09,0.969483315113794,223.111062552172
315,10,21,0.996600526895481,6.35185912529722e-09,0.969275338447269,426.886311563527
330,10,22,0.996582377581733,5.89658540732171e-09,0.969039556582858,545.83732128586
345,10,23,0.996592137538474,5.98239498304748e-09,0.968861740652833,455.688572924505
360,10,24,0.996633506346492,6.3426992184136e-09,0.968789988378643,265.677683244951
375,10,25,0.996702448753441,6.96423580346542e-09,0.968740674159579,100.978858953958
390,10,26,0.996707087214291,6.95451217840841e-09,0.968628259432346,1388.70271859516
405,10,27,0.996567321437749,4.91800406657737e-09,0.967946041357694,987.753708012612
420,10,28,0.996664688238525,5.84966596323419e-09,0.968044674705894,135.274194968087
435,10,29,0.996709115275151,6.45480182459069e-09,0.968005778387081,1652.39018212984
450,10,30,0.996592133629642,4.76472102037443e-09,0.967445562021519,331.307968453945
465,10,31,0.996779789053956,7.26076479709399e-09,0.967791665515121,1297.37529444412
480,10,32,0.996587628936941,4.42939710776484e-09,0.966808387843669,352.416452957871
495,10,33,0.996793663135415,7.06799843953939e-09,0.967165247162346,1574.23533854518
510,10,34,0.996637487657678,4.63177752260156e-09,0.966244435796371,166.842087291963
525,10,35,0.996657936522553,5.00876019961593e-09,0.965849385491107,2273.74825178899
540,10,36,0.996766988890297,5.80647259713238e-09,0.965838361802915,34.0451854631204
555,10,37,0.996549427968639,3.53659744784982e-09,0.964670555458846,497.051722601309
570,10,38,0.996796074805086,6.07917616374826e-09,0.965103480568679,1995.86785316689
585,10,39,0.996747011127249,5.35365428601021e-09,0.96444282696024,37.5560690757776
600,10,40,0.99653866175464,3.30278387488378e-09,0.963253679199666,436.373915550252
615,10,41,0.99675606545284,5.260533548679e-09,0.963560185701251,2457.02759109032
630,10,42,0.996835241900571,5.88325360743735e-09,0.963373662601782,12.5356093246071
645,10,43,0.996636668229358,3.75746029345617e-09,0.962279858710323,115.000665449714
660,10,44,0.996513664677981,2.93618814562592e-09,0.961246765824729,1077.84279895068
675,10,45,0.996877736660563,5.72715058010072e-09,0.962207376754814,2135.39823004081
690,10,46,0.996844908768085,5.35586528264044e-09,0.961622132288746,9.1795415164449
705,10,47,0.996652373611877,3.40714015038663e-09,0.960546933462738,69.5750065633706
720,10,48,0.996495530317525,2.42570913018228e-09,0.959463772828942,526.151753067266
735,10,49,0.996679671328406,3.54557693361341e-09,0.959624066998733,3179.85584887527
750,10,50,0.996992087186355,6.19715825686911e-09,0.960420473570426,1.35410777945887
